,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Unnamed: 2_level_0,Unnamed: 2_level_1,BP/ LN Equity,STERV FH Equity,IP US Equity,UPM FH Equity,NEM US Equity,XOM US Equity,VLO US Equity,NUE US Equity,ABX CT Equity,FMC US Equity,FCX US Equity,TTE FP Equity,COP US Equity,ADM US Equity,PKX US Equity,BHP US Equity,TECK/B CT Equity,RIO US Equity,WIL SP Equity,MNDI LN Equity,AAL LN Equity,CVE CT Equity,ALA CT Equity,WLK US Equity,GLEN LN Equity,MOS US Equity,MPC US Equity,PSX US Equity,WY US Equity,ET US Equity,VNOM UW Equity,SUN US Equity,WRK US Equity,PBA US Equity,AA US Equity,MTS SQ Equity,NTR CT Equity,NTR US Equity,DOW US Equity,CTVA US Equity,OXY US Equity,OKE US Equity,CVX US Equity,PXD US Equity,TRGP US Equity,SLB US Equity,BKR US Equity,DVN US Equity,HES US Equity,MRO US Equity,WMB US Equity,CTRA US Equity,APA US Equity,EOG US Equity,KMI US Equity,EQT US Equity,HAL US Equity,FANG US Equity,S5ENRS Index
Unnamed: 3_level_0,Unnamed: 3_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30 00:00:00,2018-12-31 00:00:00,-4.684824,-9.397573,-12.62178,-4.816597,7.602135,-14.22641,-6.170213,-13.57506,6.846544,-10.12693,-13.65159,-3.632824,-5.787247,-10.97349,1.491569,8.859333,7.179667,3.678358,3.369502,-4.505681,11.52494,-4.086202,-5.441993,-8.718444,0.3505943,-18.8024,-9.438306,-7.880667,-17.22832,-9.334249,-13.28671,-2.753934,-19.84717,-11.46411,-16.44137,-7.962584,-7.66271,-7.995644,,,-11.62728,-12.17646,-8.533714,-10.98477,-19.29196,-19.09338,-5.7844,-16.3629,-24.47779,-14.08029,-11.67374,-11.16852,-25.27754,-15.58416,-9.90041,0.9620524,-14.92013,-16.0174,-12.66938
2018-12-31 00:00:00,2019-01-31 00:00:00,7.963034,16.05553,17.51734,14.13034,-1.558442,7.464437,17.14019,18.20112,-1.087424,7.89616,13.38884,3.879646,8.564555,9.592384,9.610484,10.55421,12.83956,16.06848,8.070751,15.93292,14.43595,10.76107,0.8730266,11.68203,9.345669,10.5101,12.28605,10.74869,20.0366,11.35503,21.77419,12.65171,7.8125,20.56986,11.6629,10.98171,10.02041,10.25532,,,8.797654,20.65686,5.386525,8.211679,21.92231,22.53326,9.627907,18.23425,33.33333,10.11158,22.13152,11.94618,26.00262,14.00204,18.98641,3.070408,17.98345,11.24056,11.11105
2019-01-31 00:00:00,2019-02-28 00:00:00,5.414296,0.1711029,-2.382688,4.364613,0.02931692,9.041996,-6.112978,-1.094056,-5.728593,12.15539,10.82474,3.57048,0.6977676,-4.556046,-3.188309,3.340496,-7.941789,3.429892,-4.302023,-5.003074,4.256037,17.41881,31.98035,-5.125983,-0.6994577,-3.128872,-5.651159,1.837421,-3.849085,2.671944,5.288415,0.5524491,-7.091268,3.271217,-0.606469,-0.322958,5.117964,5.055963,,,-0.9433962,0.07786949,5.350459,-0.9626194,-6.440363,0.7916761,12.74928,10.73171,7.12963,5.43849,-0.8911994,-1.322645,1.096892,-5.241935,5.856354,-6.780338,-2.13648,-0.0670417,2.618457
2019-02-28 00:00:00,2019-03-31 00:00:00,2.359033,-4.912486,0.9821039,-3.347563,5.278753,2.239656,4.009318,-2.996421,8.6524,-0.4334019,-0.07751938,-1.128724,-1.635962,1.482353,-4.588626,5.536734,3.404319,8.93058,3.170358,-3.786116,2.373619,-4.89979,-1.611255,-2.876771,2.453341,-12.5892,-3.483309,-1.234952,5.825633,3.921569,0.7596475,3.935957,2.59497,0.7123117,-4.542373,-11.91373,-2.331403,-2.285946,3.674699,,1.320347,8.683474,3.010537,8.264407,3.255467,-1.11212,5.079606,7.236823,4.56093,0.6626506,9.123671,6.011373,4.460518,1.255319,4.436326,14.45916,-3.961822,-1.360148,2.110253
2019-03-31 00:00:00,2019-04-30 00:00:00,0.4669893,1.524145,1.167063,1.139758,-10.97106,-0.6435643,6.872569,-2.193659,-7.346471,2.915907,-4.151071,0.01481921,-5.424034,3.4083,-0.07245065,-3.14615,2.121803,0.08496176,9.565547,1.980419,-3.147194,14.10715,1.370055,2.785146,-1.599659,-4.393995,1.704261,-0.9456761,1.746393,-1.626545,1.387213,-0.7381258,0.07822686,-2.348699,-5.255682,6.964069,2.754839,2.691433,9.877978,,-11.0574,-1.510694,-2.532879,9.311794,-1.179302,-2.04269,-13.34776,1.837769,6.458575,1.974865,-1.357939,-0.8045977,-4.387277,1.13146,0.5503542,-1.398264,-3.31058,4.786763,0.06844942
2019-04-30 00:00:00,2019-05-31 00:00:00,-5.046679,-14.90641,-10.37214,-11.15066,6.535738,-10.84429,-21.50481,-15.89276,-1.784653,-7.095877,-21.12104,-6.324934,-6.130514,-13.34457,-9.860432,-1.964117,-14.01366,-1.646859,-8.830069,-5.507855,-7.396493,-17.2634,9.080172,-17.52242,-18.98587,-17.77097,-23.66328,-13.37918,-14.92537,-7.296319,-15.73308,-0.4953893,-14.01961,0.1639888,-20.57721,-30.88723,-10.03413,-10.04061,-16.38409,-7.0,-15.47215,-6.344767,-4.238268,-14.71825,-4.209216,-18.72071,-10.17706,-21.71749,-12.8821,-22.57905,-6.883162,-3.029665,-20.78396,-14.75273,0.402617,-10.38597,-24.84998,-7.663686,-11.13884
2019-05-31 00:00:00,2019-06-30 00:00:00,2.1127,11.15413,4.461056,6.07699,16.7306,8.280345,21.60511,15.63309,27.01025,13.47764,19.56746,8.939791,3.459973,6.471816,7.521854,11.94375,13.82781,7.612636,14.26492,9.725436,19.07169,8.153604,5.307336,21.2428,7.912941,16.84326,21.50467,15.76733,17.2267,2.474527,10.07143,4.405875,11.87117,4.747246,10.47664,20.72323,10.64289,10.56249,5.453379,9.640341,2.671856,8.157812,9.301713,8.382643,2.080083,16.16061,15.0397,13.74511,14.29932,8.060837,7.758751,-8.233414,11.1239,13.77626,4.661654,-13.60656,7.686207,11.12584,9.269078
2019-06-30 00:00:00,2019-07-31 00:00:00,-4.297483,-1.085721,1.361958,2.493699,-5.068885,-2.962286,-0.4205116,-1.306715,3.331626,4.183243,-4.305069,-6.487098,-2.657901,0.6862745,-11.74142,-5.47238,-11.0357,-8.4376,6.6014,-3.063279,-12.59771,5.78133,1.977103,-2.72099,-6.217489,0.6392329,0.91267,9.642934,-3.530752,2.130682,4.672291,8.024297,-1.151631,-2.077896,-3.929945,-9.620209,2.857712,2.525253,-1.764348,0.2084925,2.147971,1.845662,-1.068788,-10.28207,1.428773,0.5787619,3.085668,-5.329593,1.997798,-0.9852217,-12.12554,-16.55052,-14.82894,-7.542186,-0.05194358,-4.427577,1.14336,-5.083968,-1.781206
2019-07-31 00:00:00,2019-08-31 00:00:00,-7.165024,-3.765669,-9.802274,-0.975391,9.22782,-6.756816,-10.64626,-9.930121,19.19821,-0.1041426,-16.90778,-4.711483,-11.67908,-6.515718,-6.85458,-10.50428,-16.99654,-7.678574,-5.083365,-10.3381,-10.7131,-6.379707,-11.17799,-12.88649,-11.42098,-26.99484,-11.74278,-2.955523,3.541913,-3.184221,-8.765222,-4.739699,-3.948302,1.463528,-20.27568,-11.00048,-8.39722,-8.118957,-10.54027,-0.6101695,-15.34268,3.050056,-3.395641,-10.59113,-7.170393,-18.86415,-13.91609,-18.55556,-2.914867,-15.51592,-4.220779,-10.1866,-11.67076,-13.58183,-1.697381,-32.53345,-18.08696,-4.987003,-8.067849
2019-08-31 00:00:00,2019-09-30 00:00:00,4.169774,7.861177,6.956522,9.747992,-4.594867,3.110397,13.23061,4.78303,-10.79481,2.035444,4.134929,6.132473,9.198927,7.936925,9.098334,3.625335,-4.630048,2.98537,-1.710374,-1.447735,6.542211,7.882894,8.509849,11.82796,7.882106,11.78055,23.45052,3.822366,6.629393,-3.894196,-4.487401,0.2550207,6.641311,1.500853,11.9353,-2.212733,-0.2182701,-0.05180095,11.77574,-4.502047,4.073635,3.381032,0.7475365,2.258937,11.21262,7.026269,6.961733,9.814315,-3.543821,3.631757,3.544075,2.628505,18.68336,0.04043671,1.677356,4.621436,1.013076,-8.329935,3.770653
