,ALTAGAS LTD,FMC CORP,STORA ENSO,WEYERHAEUSER CO,BHP GROUP,INTERNATIONAL PAPER CO,S&P 500 ENERGY INDEX,WILMAR INTERNATIONAL LTD,TOTALENERGIES SE,BP PLC,ALTAGAS LTD_cumulative_sum,FMC CORP_cumulative_sum,STORA ENSO_cumulative_sum,WEYERHAEUSER CO_cumulative_sum,BHP GROUP_cumulative_sum,INTERNATIONAL PAPER CO_cumulative_sum,S&P 500 ENERGY INDEX_cumulative_sum,WILMAR INTERNATIONAL LTD_cumulative_sum,TOTALENERGIES SE_cumulative_sum,BP PLC_cumulative_sum
2018-08,0.13636363636363646,-0.125,0.049180327868852514,0.1515151515151516,0.0,0.08333333333333326,0.0,0.1428571428571428,0.0,0.0,0.001274694251300082,0.0,0.0005556374967898122,0.0015660302461918453,0.0,0.0008141879648703598,0.0,0.0014989679533278994,0.0,0.0
2018-09,0.1428571428571428,-0.2265625,0.029126213592232997,0.16216216216216206,-1.0,-0.048387096774193505,0.0,0.0,0.0,0.0,0.0012433780834919651,0.0,0.0003054629285376205,0.0015372399544356823,0.0,0.0,0.0,1.5146267571658646e-05,0.0,0.0
2018-10,0.08000000000000007,-0.10810810810810811,-0.13605442176870752,0.11881188118811892,0.0,0.023255813953488413,-0.25,-0.25,0.0,0.0,0.0006488269222142991,0.0,0.0,0.0009931506739012826,0.0,0.000214625374418605,0.0,0.0,0.0,0.0
2018-11,0.0,-0.25,0.10309278350515472,0.1063829787234043,0.0,0.0,-0.5,1.0,0.0,0.0,5.667327982272905e-06,0.0,0.0008727793814432996,0.0010784306856226273,0.0,2.209495385787461e-06,0.0,0.0097148579,0.0,0.0
2018-12,0.19999999999999996,-0.2713178294573644,0.03157894736842115,0.032608695652173836,-0.0625,0.0,-0.3157894736842105,0.0,0.0,0.0,0.0018912137291239013,0.0,0.0002940205203878541,0.00027883400413516605,0.0,1.9306177390832163e-08,0.0,0.00010042200231237656,0.0,0.0
2019-01,0.16666666666666674,-0.18666666666666665,0.16115702479338845,0.17307692307692313,0.20408163265306123,0.19047619047619047,-0.46153846153846156,0.4444444444444444,0.0,0.0,0.0017002943552804205,0.0,0.0018737286632944323,0.0020809035670436163,0.002256208367346939,0.002238425750690585,0.0,0.004804229757009571,0.0,0.0
2019-02,0.1578947368421053,-0.20430107526881724,0.07006369426751591,0.1499999999999999,0.14655172413793105,0.04477611940298498,0.0,0.5,0.0,0.0,0.0021063408075691886,0.0,0.0007206050994763022,0.0014622718031998,0.0015377885553829948,0.00045894335228044355,0.0,0.004830874356878902,0.0,0.0
2019-03,0.18181818181818188,-0.2948717948717948,-0.0449438202247191,0.08965517241379306,0.10596026490066235,0.15555555555555545,0.25,0.1428571428571428,0.0,0.0,0.0018096102955871753,0.0,0.0,0.0009642561211605459,0.0011344993473108441,0.001575467233861752,0.002552756325,0.0015237025608280782,0.0,0.0
2019-04,0.06060606060606055,-0.20952380952380956,-0.10160427807486627,0.24725274725274726,0.18452380952380953,0.0,-0.4285714285714286,1.0,0.0,0.0,0.000632707999216193,0.0,0.0,0.0025255184774563948,0.0017981721998657162,1.593853929025276e-05,0.0,0.010973249230454245,0.0,0.0
2019-05,0.23076923076923084,-0.17204301075268813,-0.10483870967741937,0.16799999999999993,0.11695906432748537,0.25396825396825395,-0.3076923076923077,0.0,0.0,0.0,0.002524136328199567,0.0,0.0,0.001450739539002776,0.001164247054559872,0.0022764059648279224,0.0,0.00010004303751863167,0.0,0.0
2019-06,0.5555555555555556,-0.2232142857142857,-0.07567567567567568,0.11111111111111116,-0.0641025641025641,0.1785714285714286,-0.18181818181818177,0.0,0.0,0.0,0.005876988562797908,0.0,0.0,0.001319525429760571,0.0,0.0018891555770970626,0.0,1.1431409678623445e-06,0.0,0.0
2019-07,0.10000000000000009,-0.25,-0.07499999999999996,-0.1428571428571429,-0.02409638554216864,-0.07407407407407407,-0.19999999999999996,0.0,0.0,0.0,0.0010797028567998274,0.0,0.0,0.0,0.0,0.0,0.0,1.2186042757148093e-08,0.0,0.0
2019-08,0.6363636363636365,-0.24271844660194175,-0.12030075187969924,0.05555555555555558,0.06422018348623859,0.026315789473684292,-0.25,1.0,0.0,0.0,0.005661899865067099,0.0,0.0,0.0005752328500000002,0.0005747431559633032,0.000237362436842106,0.0,0.009491663615665818,0.0,0.0
2019-09,0.10000000000000009,-0.27884615384615385,-0.1515151515151515,0.15384615384615374,0.15625,0.2272727272727273,-0.6923076923076923,-0.5,0.0,0.0,0.0011465356799411563,0.0,0.0,0.001646585872962915,0.0016251016545825656,0.0024333687915243534,0.0,0.0,0.0,0.0
2019-10,0.19999999999999996,-0.25757575757575757,-0.06829268292682922,0.2666666666666666,0.10389610389610393,0.125,-0.6428571428571428,1.0,0.0,0.0,0.002001699151407969,0.0,0.0,0.002829397135994189,0.0010451685218374612,0.001331011373549079,0.0,0.0102153932,0.0,0.0
2019-11,0.08333333333333326,-0.3652173913043478,-0.12209302325581395,0.1785714285714286,0.0535714285714286,-0.040000000000000036,-0.7,-1.0,0.0,0.0,0.0008729551525429404,0.0,0.0,0.0018326389381780957,0.0005754228695070678,0.0,0.0,0.0,0.0,0.0
2019-12,0.25,-0.25,-0.005847953216374324,0.0,0.08695652173913038,-0.04347826086956519,-0.4117647058823529,0.0,0.0,0.0,0.0025882327213382966,0.0,0.0,1.8972900965627354e-05,0.0009293368358750618,0.0,0.0,0.0,0.0,0.0
2020-01,0.1428571428571428,-0.22429906542056077,-0.00649350649350644,0.05555555555555558,-0.02898550724637683,0.10000000000000009,-0.19999999999999996,0.0,0.0,0.0,0.0015426805424527408,0.0,0.0,0.0005327425815430002,0.0,0.0008842562000000008,0.0,0.0,0.0,0.0
2020-02,0.33333333333333326,-0.19117647058823528,-0.04132231404958675,0.0,-0.11111111111111116,-0.1428571428571429,-0.5833333333333333,0.0,0.0,0.0,0.0031186118429823296,0.0,0.0,4.780881471826966e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,0.08333333333333326,-0.21568627450980393,-0.06299212598425197,0.0,0.11650485436893199,0.0652173913043479,-0.75,0.0,0.0,0.0,0.0005238380985029586,0.0,0.0,3.158502730830607e-08,0.0010167384466019413,0.0005493012391304353,0.0,0.0,0.0,0.0
2020-04,0.3999999999999999,-0.19191919191919193,-0.09999999999999998,0.09090909090909083,-0.04225352112676062,-0.08571428571428574,-0.6521739130434783,0.0,0.0,0.0,0.005352086700264112,0.0,0.0,0.001172969043894346,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,-0.0714285714285714,-0.33333333333333337,-0.03703703703703709,0.06896551724137923,-0.0625,0.050000000000000044,-0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0006475061890674539,0.0,0.0005045010215000004,0.0,0.0,0.0,0.0
