User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ChartMill,@ChartMill,2021-09-13T01:44:02.000Z,"ChartMill
@ChartMill
·
Sep 13, 2021$GLEN.L has an average volume of 7642050. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-13T00:42:04.000Z,"ChartMill
@ChartMill
·
Sep 13, 2021In the last month $GLEN.L has a been trading in the 303.05 - 341.00 range, which is quite wide. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
AgendaMali,@AgendaMali,2021-09-11T18:53:23.000Z,"AgendaMali
@AgendaMali
·
Sep 11, 2021Replying to 
@AgendaMali
 @Kin50264077
 and 9 others
Look at 
@Gecamines
 and 
@ZCCMIHPLC
 sitting on billions of tons of copper, but a small company like 
@IvanhoeMines_
 is coming to run the show. How? Politics, bad management, lack of financial resources. 
@PaulKagame
 as figured out how to organise Rwanda, we are decades behind!
1",,,1
AgendaMali,@AgendaMali,2021-09-11T18:49:28.000Z,"AgendaMali
@AgendaMali
·
Sep 11, 2021Replying to 
@AgendaMali
 @Kin50264077
 and 6 others
Do you really believe 
@NNPCgroup
 @sonangoloficial
 and all our other NOCs can do this? I fear we can't cause we haven't plan it. My argument is that we need to be realistic about these things, not play into populism, Tchad did and is still reimbursing debt to 
@Glencore
1",1,,
David Cranmer Underdown,@DavidCranmerUn1,2021-09-09T17:28:59.000Z,"David Cranmer Underdown
@DavidCranmerUn1
·
Sep 9, 2021stockpiled 1,200 tonnes of uranium ore in a warehouse on Staten Island, New York. This ore and an additional 3,000 tonnes of ore stored above-ground at the mine was purchased by Colonel Ken Nichols for use in the project. Glencore Plc could reopen its Mutanda Mining copper and
1
1",1,,1
King Tri-Zi,@KingTriZi,2021-09-09T14:00:39.000Z,"King Tri-Zi
@KingTriZi
·
Sep 9, 2021
AutomatedChad hopes for ‘favourable opinion’ from Glencore on debt restructuring: By Mahamat Ramadane N'DJAMENA (Reuters) - Unable to honour internal debt commitments, authorities in Chad are hoping for a ""favourable opinion"" from Glencore Plc on restructuring… https://oann.com/chad-hopes-for-favourable-opinion-from-glencore-on-debt-restructuring/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=kingtrizi…",,,
W. Gyude Moore,@gyude_moore,2021-09-09T13:44:33.000Z,"W. Gyude Moore
@gyude_moore
·
Sep 9, 2021""Unable to honor internal debt commitments, authorities in Chad are hoping for a ""favorable opinion"" from commodity trader and miner Glencore Plc on restructuring Chad's commercial debt...""
Reuters Africa
@ReutersAfrica
·
Sep 9, 2021
Chad hopes for 'favourable opinion' from Glencore on debt restructuring https://reuters.com/world/africa/chad-hopes-favourable-opinion-glencore-debt-restructuring-2021-09-09/…
1",1,,
Matthew,@ausinsing,2021-09-01T23:37:48.000Z,"Matthew
@ausinsing
·
Sep 2, 2021Replying to 
@MarketInterest
Founder of Glencore PLC!",,,
Hilary Katz,@hilary_katz,2021-08-31T07:00:38.000Z,"Hilary Katz
@hilary_katz
·
Aug 31, 2021Company NameStatusUpdated Consensus View
PROSUS N.V
BUY
30/08
ANHEUSER-BUSCH INBEV SA N...
HOLD
30/08
BRITISH AM. TOBACCO PLC
BUY
30/08
NASPERS LIMITED
BUY
30/08
GLENCORE XSTRATA PLC
HOLD
30/08
2",,,2
David Cranmer Underdown,@DavidCranmerUn1,2021-08-30T12:33:52.000Z,"David Cranmer Underdown
@DavidCranmerUn1
·
Aug 30, 2021Pincus Green set up their own company in Switzerland, Marc Rich + Co. AG, which would later become Glencore Xstrata Plc.[7][8] Nicknamed ""the King of Oil"" by his business partners, Rich has been said to have expanded the spot market for crude oil in the early 1970s, drawing
1",1,,
ChartMill,@ChartMill,2021-08-30T05:40:02.000Z,"ChartMill
@ChartMill
·
Aug 30, 2021$GLEN.L: The long and short term trends are both positive. This is looking good! https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
